USERNAME, TIMESTAMP, ACTION, RESOURCE
dsblythe, 11/26/2017 12:50:50AM, sort, notification NX0414
quhundley, 11/26/2017 06:27:32PM, cancel, system alert CA02174
dsblythe, 11/26/2017 09:56:37PM, view, notification NX3480
xcherndon, 11/26/2017 12:46:22PM, disable, office visit OV01154
fzalcala, 11/26/2017 12:58:20PM, export, system alert CA03624
lqmadden, 11/27/2017 02:17:55AM, cancel, office visit OV01843
dsblythe, 11/27/2017 12:43:10PM, cancel, notification NX1118
lqmadden, 11/27/2017 09:40:02PM, unmerge, notification NX1034
lqmadden, 12/01/2017 07:00:24AM, unmerge, office visit OV00787
quhundley, 12/01/2017 09:45:27AM, delete, notification NX4358
quhundley, 12/01/2017 11:16:23AM, schedule, system alert CA01372
fzalcala, 12/01/2017 12:14:28PM, unmerge, notification NX1034
fzalcala, 12/01/2017 01:27:40PM, disable, appointment A000770
xcherndon, 12/02/2017 00:14:58PM, resolve, ICD-10 Code 394
fzalcala, 12/02/2017 08:17:13PM, import, office visit OV02939
fzalcala, 12/02/2017 08:37:27PM, unmerge, notification NX4544
dsblythe, 12/03/2017 08:11:03AM, import, office visit OV02939
dsblythe, 12/03/2017 10:37:20AM, update, ICD Code 26
fzalcala, 12/03/2017 04:49:13PM, cancel, notification NX1842
dsblythe, 12/03/2017 07:21:42PM, sort, notification NX4096
quhundley, 12/03/2017 10:02:16PM, sort, appointment A003547
quhundley, 12/03/2017 11:07:04PM, schedule, ND code 13
quhundley, 12/04/2017 01:43:27AM, print, ICD-9 Code 397
qylarry, 12/04/2017 03:56:44AM, import, office visit OV02939
quhundley, 12/04/2017 10:19:09PM, modify, notification NX2143
fzalcala, 12/05/2017 01:19:37AM, unmerge, LOINC code 273
fzalcala, 12/05/2017 07:36:15AM, export, CPT Code 52
dsblythe, 12/05/2017 10:22:30AM, create, office visit OV01243
lqmadden, 12/05/2017 11:48:24AM, resolve, ICD-10 Code 394
quhundley, 12/05/2017 07:20:40PM, complete, appointment A003583
fzalcala, 12/06/2017 02:45:00AM, enable, system alert CA04762
fzalcala, 12/07/2017 02:32:31AM, schedule, system alert CA01480
lqmadden, 12/07/2017 07:01:30AM, delete, notification NX2338
dsblythe, 12/07/2017 08:56:52AM, cancel, notification NX1842
fzalcala, 12/07/2017 01:10:03PM, unmerge, notification NX1624
xcherndon, 12/08/2017 12:23:50AM, resolve, ICD-9 Code 194
dsblythe, 12/08/2017 06:38:36AM, complete, appointment A003583
lqmadden, 12/08/2017 09:13:01PM, export, office visit OV02309
quhundley, 12/09/2017 12:20:35AM, export, office visit OV03450
lqmadden, 12/09/2017 02:32:41AM, assign, system alert CA00191
xcherndon, 12/09/2017 05:52:05AM, cancel, notification NX1604
fzalcala, 12/09/2017 10:42:18AM, unmerge, system alert CA03572
lqmadden, 12/09/2017 02:16:34PM, view, message M5402
xcherndon, 12/10/2017 11:15:01AM, merge, office visit OV03122
xcherndon, 12/10/2017 12:43:48AM, disable, patient specific instructions A541
xcherndon, 12/10/2017 09:43:28PM, assign, system alert CA00191
dsblythe, 12/11/2017 12:24:15AM, unmerge, office visit OV00787
dsblythe, 12/11/2017 01:58:09AM, delete, notification NX4104
qylarry, 12/11/2017 11:50:32AM, modify, notification NX3875
fzalcala, 12/11/2017 06:48:46PM, update, ICD Code 26
quhundley, 12/12/2017 08:23:48AM, create, office visit OV01854
dsblythe, 12/12/2017 09:13:23AM, resolve, message M3749
fzalcala, 12/12/2017 02:14:26PM, update, office visit OV04352
quhundley, 12/12/2017 10:27:20PM, cancel, system alert CA03417
dsblythe, 12/13/2017 02:39:52AM, create, message M3668
fzalcala, 12/13/2017 10:39:15AM, import, office visit OV02939
qylarry, 12/13/2017 12:46:49AM, delete, notification NX2338
xcherndon, 12/13/2017 03:47:17PM, create, office visit OV01243
dsblythe, 12/14/2017 02:29:42AM, resolve, notification NX4608
quhundley, 12/14/2017 04:31:32AM, delete, notification NX0881
fzalcala, 12/14/2017 07:19:14AM, disable, appointment A000770
xcherndon, 12/14/2017 02:46:59PM, cancel, notification NX1842
quhundley, 12/14/2017 09:15:44PM, complete, office visit OV04294
qylarry, 12/14/2017 10:07:54PM, disable, office visit OV01154
quhundley, 12/15/2017 03:15:46AM, disable, notification NX0207
quhundley, 12/15/2017 04:07:08AM, access, system alert CA00245
lqmadden, 12/15/2017 08:13:52AM, query, HL7 Code 288
quhundley, 12/15/2017 02:24:46PM, print, message M1298
fzalcala, 12/15/2017 06:23:51PM, create, office visit OV02431
fzalcala, 12/15/2017 11:37:29PM, import, office visit OV02939
xcherndon, 12/15/2017 11:58:40PM, schedule, system alert CA01463
quhundley, 12/16/2017 04:36:02AM, query, HL7 Code 288
dsblythe, 12/16/2017 04:03:19PM, import, appointment A003425
lqmadden, 12/16/2017 09:56:17PM, modify, notification NX2143
fzalcala, 12/16/2017 12:46:13PM, complete, appointment A003583
lqmadden, 12/17/2017 02:06:26AM, cancel, office visit OV01170
quhundley, 12/17/2017 08:03:22AM, update, notification NX0017
lqmadden, 12/17/2017 08:25:01AM, view, appointment A002502
fzalcala, 12/17/2017 05:38:34PM, disable, patient specific instructions A541
xcherndon, 12/17/2017 05:50:30PM, unmerge, appointment A002347
dsblythe, 01/04/2015 08:26:36PM, update, patient specific instructions A532
dsblythe, 01/04/2015 11:56:04PM, complete, system alert CA03406
qylarry, 01/05/2015 02:12:38AM, print, notification NX1293
quhundley, 01/05/2015 02:27:19AM, order, notification NX1379
quhundley, 01/05/2015 06:40:59AM, create, message M4467
quhundley, 01/05/2015 08:55:01AM, cancel, notification NX1842
dsblythe, 01/05/2015 04:37:46PM, unmerge, system alert CA03572
lqmadden, 01/06/2015 07:05:20AM, resolve, appointment A000609
xcherndon, 01/06/2015 10:47:20AM, unmerge, notification NX1034
qylarry, 01/06/2015 10:58:26AM, resolve, notification NX4608
fzalcala, 01/06/2015 12:03:40PM, unmerge, system alert CA03572
xcherndon, 01/06/2015 02:29:29PM, order, CPT Code 247
qylarry, 01/06/2015 04:07:07PM, cancel, notification NX1118
xcherndon, 01/06/2015 09:47:56PM, modify, appointment A003529
xcherndon, 01/07/2015 04:45:40AM, export, CPT Code 52
lqmadden, 01/07/2015 05:03:12AM, update, patient specific instructions A1168
qylarry, 01/07/2015 01:36:02PM, modify, notification NX2143
fzalcala, 01/07/2015 11:15:52PM, sort, system alert CA04760
lqmadden, 01/08/2015 12:53:39AM, query, notification NX2872
qylarry, 01/08/2015 03:45:31AM, complete, ICD-9 Code 905
dsblythe, 01/08/2015 06:45:37AM, resolve, appointment A001925
xcherndon, 01/08/2015 11:39:44AM, sort, system alert CA03166
qylarry, 01/08/2015 12:59:38AM, assign, ICD-9 Code 790
xcherndon, 01/08/2015 11:32:53PM, unmerge, LOINC code 273
dsblythe, 01/09/2015 10:45:03AM, update, CPT Code 89
quhundley, 01/09/2015 01:47:00PM, order, appointment A004704
dsblythe, 01/09/2015 06:15:38PM, complete, system alert CA03406
quhundley, 01/09/2015 06:23:21PM, cancel, notification NX1842
xcherndon, 01/10/2015 06:12:02AM, merge, message M3062
xcherndon, 01/10/2015 01:00:15PM, modify, HL7 Code 282
dsblythe, 01/10/2015 11:08:22PM, cancel, message M4718
qylarry, 01/11/2015 09:46:38AM, update, ICD Code 26
dsblythe, 01/12/2015 12:43:40AM, delete, ICD-9 Code 261
fzalcala, 01/12/2015 03:51:06AM, update, ICD Code 26
qylarry, 01/12/2015 04:00:56AM, delete, notification NX0881
quhundley, 01/12/2015 02:44:31PM, access, notification NX4970
lqmadden, 01/13/2015 02:15:17AM, access, ICD-9 Code 179
dsblythe, 01/13/2015 09:52:31AM, update, CPT Code 89
lqmadden, 01/13/2015 04:02:47PM, print, office visit OV00092
lqmadden, 01/13/2015 11:20:53PM, access, message M5760
dsblythe, 01/14/2015 06:21:25AM, complete, ND code 245
lqmadden, 01/14/2015 11:11:45AM, order, message M1819
fzalcala, 01/14/2015 12:09:29AM, modify, appointment A003833
fzalcala, 01/14/2015 03:07:05PM, modify, office visit OV02810
qylarry, 01/14/2015 07:51:57PM, print, office visit OV02789
lqmadden, 01/15/2015 01:05:13PM, sort, appointment A004034
xcherndon, 01/15/2015 06:21:11PM, unmerge, LOINC code 273
lqmadden, 01/16/2015 12:33:24AM, create, system alert CA01597
qylarry, 01/16/2015 07:19:35AM, unmerge, appointment A002347
qylarry, 01/16/2015 08:48:45AM, enable, office visit OV01897
dsblythe, 01/16/2015 09:19:39AM, update, notification NX3502
quhundley, 01/16/2015 03:29:10PM, create, appointment A003343
xcherndon, 01/16/2015 10:50:41PM, import, appointment A002389
dsblythe, 01/17/2015 06:04:34AM, cancel, office visit OV00234
dsblythe, 01/17/2015 09:41:19AM, create, system alert CA04840
fzalcala, 01/17/2015 09:45:15AM, delete, notification NX4358
qylarry, 01/17/2015 03:54:07PM, modify, system alert CA02686
xcherndon, 01/17/2015 05:34:57PM, import, office visit OV01979
qylarry, 01/17/2015 07:03:37PM, access, system alert CA00245
xcherndon, 01/17/2015 07:06:23PM, create, office visit OV02431
quhundley, 01/18/2015 12:07:06AM, cancel, office visit OV00082
dsblythe, 01/18/2015 12:27:25AM, query, HL7 Code 288
dsblythe, 01/18/2015 01:04:49AM, print, system alert CA04892
quhundley, 01/18/2015 08:30:29AM, complete, system alert CA03406
quhundley, 01/18/2015 10:23:02AM, query, LOINC code 186
qylarry, 01/18/2015 02:09:27PM, unmerge, system alert CA00345
quhundley, 01/18/2015 04:16:08PM, query, HL7 Code 288
dsblythe, 01/18/2015 05:59:36PM, complete, message M3355
xcherndon, 01/18/2015 06:38:30PM, merge, system alert CA00306
quhundley, 01/18/2015 07:55:21PM, unmerge, notification NX1624
lqmadden, 01/18/2015 10:32:19PM, create, office visit OV02431
fzalcala, 01/19/2015 04:24:29AM, cancel, system alert CA02174
lqmadden, 01/19/2015 10:07:21AM, sort, appointment A005008
fzalcala, 01/19/2015 02:48:21PM, assign, notification NX1212
qylarry, 01/19/2015 05:54:56PM, merge, notification NX3056
xcherndon, 01/19/2015 06:29:40PM, cancel, system alert CA03417
lqmadden, 01/20/2015 03:35:30AM, complete, system alert CA03406
xcherndon, 01/20/2015 05:48:43AM, print, message M5397
fzalcala, 01/20/2015 06:11:28AM, resolve, ICD-9 Code 444
quhundley, 01/20/2015 12:11:25PM, cancel, notification NX3412
dsblythe, 01/21/2015 12:35:40AM, export, ICD-10 Code 680
xcherndon, 01/21/2015 04:28:22AM, create, system alert CA04840
xcherndon, 01/21/2015 12:44:27PM, update, patient specific instructions A396
quhundley, 01/21/2015 02:41:17PM, disable, notification NX0207
qylarry, 01/21/2015 06:00:25PM, create, system alert CA01597
xcherndon, 01/22/2015 02:57:51PM, schedule, office visit OV05067
qylarry, 01/22/2015 08:02:22PM, export, CPT Code 52
fzalcala, 01/23/2015 01:57:29AM, unmerge, notification NX1624
lqmadden, 01/23/2015 02:51:52AM, complete, ICD-9 Code 905
dsblythe, 01/23/2015 06:30:17AM, schedule, appointment A002321
qylarry, 01/23/2015 07:10:53AM, modify, notification NX2143
lqmadden, 01/23/2015 03:20:37PM, export, office visit OV04194
quhundley, 01/24/2015 03:16:21AM, unmerge, notification NX1034
fzalcala, 01/24/2015 04:58:39AM, resolve, ICD-10 Code 394
quhundley, 01/24/2015 11:13:34AM, sort, appointment A005008
lqmadden, 01/24/2015 06:13:28PM, assign, notification NX4220
qylarry, 01/24/2015 07:17:13PM, cancel, office visit OV00234
qylarry, 01/24/2015 08:56:39PM, export, appointment A004719
xcherndon, 01/24/2015 09:06:48PM, create, ICD-9 Code 130
lqmadden, 01/25/2015 12:38:05AM, unmerge, system alert CA02196
dsblythe, 01/25/2015 06:35:03AM, unmerge, office visit OV00787
quhundley, 01/25/2015 07:00:45PM, assign, ICD-9 Code 790
fzalcala, 01/26/2015 02:53:59AM, query, notification NX2872
lqmadden, 01/26/2015 05:35:47AM, view, appointment A002502
xcherndon, 01/26/2015 07:18:54AM, import, notification NX3036
dsblythe, 01/27/2015 04:10:09AM, export, office visit OV02309
xcherndon, 01/27/2015 09:39:12AM, complete, appointment A003583
xcherndon, 01/27/2015 11:27:36AM, delete, notification NX2338
quhundley, 01/27/2015 12:03:37PM, assign, system alert CA04029
quhundley, 01/27/2015 10:57:24PM, delete, ICD-9 Code 261
xcherndon, 02/01/2015 07:01:58AM, access, message M4525
xcherndon, 02/01/2015 10:32:43AM, modify, notification NX3875
quhundley, 02/01/2015 12:36:16AM, create, message M4467
xcherndon, 02/01/2015 01:24:26PM, import, office visit OV01979
quhundley, 02/01/2015 04:47:43PM, update, notification NX3622
quhundley, 02/01/2015 12:17:31PM, schedule, system alert CA02794
xcherndon, 02/02/2015 02:29:09AM, resolve, appointment A000609
quhundley, 02/02/2015 07:39:06AM, cancel, system alert CA02174
quhundley, 02/02/2015 05:12:57PM, print, system alert CA04407
xcherndon, 02/02/2015 05:26:14PM, complete, ND code 245
qylarry, 02/03/2015 12:08:12AM, unmerge, appointment A002347
quhundley, 02/03/2015 12:21:39PM, export, ICD-9 Code 237
fzalcala, 02/04/2015 12:46:31AM, delete, ICD Code 27
xcherndon, 02/04/2015 10:30:58AM, delete, notification NX2338
qylarry, 02/04/2015 12:49:20PM, update, notification NX1686
fzalcala, 02/04/2015 05:43:16PM, print, office visit OV02789
dsblythe, 02/04/2015 10:38:10PM, import, system alert CA01287
dsblythe, 02/05/2015 03:49:56AM, update, notification NX0017
quhundley, 02/05/2015 04:02:14AM, create, system alert CA03482
xcherndon, 02/05/2015 03:34:08PM, create, message M4467
fzalcala, 02/05/2015 09:03:29PM, create, LOINC code 124
fzalcala, 02/05/2015 10:09:53PM, export, office visit OV03450
dsblythe, 02/06/2015 12:20:40AM, unmerge, LOINC code 273
qylarry, 02/06/2015 01:17:55PM, create, system alert CA01597
qylarry, 02/06/2015 04:17:51PM, unmerge, notification NX1034
xcherndon, 02/06/2015 12:10:14PM, create, office visit OV02431
dsblythe, 02/07/2015 12:59:36AM, update, CPT Code 89
lqmadden, 02/08/2015 03:02:30AM, modify, message M1362
fzalcala, 02/08/2015 08:55:06AM, update, message M5894
xcherndon, 02/08/2015 02:14:27PM, merge, system alert CA00306
xcherndon, 02/09/2015 12:07:37AM, print, notification NX2286
fzalcala, 02/09/2015 12:15:06AM, complete, message M3214
xcherndon, 02/09/2015 03:11:15AM, cancel, ICD-10 Code 423
quhundley, 02/09/2015 12:36:08PM, query, HL7 Code 288
fzalcala, 02/09/2015 02:00:13PM, unmerge, system alert CA00345
xcherndon, 02/09/2015 02:19:51PM, create, notification NX2399
xcherndon, 02/09/2015 10:27:03PM, query, notification NX2872
qylarry, 02/10/2015 05:40:27AM, complete, message M3214
dsblythe, 02/10/2015 12:25:14AM, query, message M5221
dsblythe, 02/10/2015 09:35:20PM, create, office visit OV01243
fzalcala, 02/10/2015 09:52:52PM, cancel, ICD-10 Code 423
qylarry, 02/11/2015 03:53:25AM, assign, notification NX1212
qylarry, 02/11/2015 05:14:08AM, update, ICD Code 26
quhundley, 02/11/2015 07:24:41AM, enable, system alert CA04373
qylarry, 02/12/2015 01:59:46AM, delete, notification NX4358
xcherndon, 02/12/2015 07:25:54PM, order, notification NX1379
lqmadden, 02/12/2015 07:46:50PM, print, notification NX1293
xcherndon, 02/12/2015 09:02:45PM, enable, notification NX3599
lqmadden, 02/13/2015 08:15:47AM, unmerge, notification NX1624
dsblythe, 02/13/2015 09:15:06AM, update, patient specific instructions A532
quhundley, 02/13/2015 10:10:59AM, cancel, system alert CA02174
fzalcala, 02/13/2015 02:13:17PM, resolve, ICD-10 Code 394
quhundley, 02/14/2015 03:17:48AM, sort, appointment A005008
xcherndon, 02/14/2015 12:11:09AM, disable, notification NX0207
lqmadden, 02/14/2015 04:11:48PM, enable, office visit OV00119
fzalcala, 02/14/2015 04:58:18PM, resolve, appointment A000609
qylarry, 02/14/2015 06:37:30PM, create, office visit OV01243
lqmadden, 02/14/2015 12:42:35PM, enable, message M4311
fzalcala, 02/15/2015 12:00:44AM, export, system alert CA00761
lqmadden, 02/15/2015 01:04:57AM, merge, appointment A004326
qylarry, 02/15/2015 01:46:38AM, create, message M4467
fzalcala, 02/15/2015 04:13:16AM, query, notification NX2872
lqmadden, 02/15/2015 07:39:43AM, enable, HL7 Code 298
qylarry, 02/15/2015 02:13:46PM, merge, system alert CA00306
lqmadden, 02/15/2015 04:05:50PM, schedule, appointment A002321
fzalcala, 02/15/2015 07:41:41PM, complete, message M3214
quhundley, 02/15/2015 08:02:22PM, schedule, appointment A002321
dsblythe, 02/16/2015 01:07:27AM, access, system alert CA00245
dsblythe, 02/16/2015 03:55:37AM, create, message M4467
fzalcala, 02/16/2015 05:31:10AM, enable, system alert CA04373
qylarry, 02/16/2015 07:12:46AM, schedule, appointment A002321
quhundley, 02/16/2015 07:41:40AM, modify, appointment A002868
dsblythe, 02/16/2015 11:22:28AM, merge, system alert CA00306
dsblythe, 02/17/2015 12:18:29AM, complete, office visit OV04294
fzalcala, 02/17/2015 05:24:38AM, view, message M5089
qylarry, 02/17/2015 01:18:00PM, create, system alert CA01597
xcherndon, 02/17/2015 04:48:23PM, view, message M5089
quhundley, 02/18/2015 04:33:34AM, create, office visit OV01243
lqmadden, 02/18/2015 05:04:01AM, modify, ICD-9 Code 934
dsblythe, 02/18/2015 11:49:36AM, enable, message M2842
xcherndon, 02/18/2015 05:38:11PM, create, system alert CA04840
lqmadden, 02/18/2015 09:54:07PM, print, notification NX2286
xcherndon, 02/18/2015 11:26:50PM, delete, notification NX4358
dsblythe, 02/19/2015 12:55:42PM, create, office visit OV01243
fzalcala, 02/19/2015 01:35:57PM, query, HL7 Code 288
fzalcala, 02/19/2015 07:12:15PM, complete, ND code 245
lqmadden, 02/19/2015 07:43:02PM, export, system alert CA00761
quhundley, 02/20/2015 02:02:27AM, schedule, system alert CA01463
quhundley, 02/20/2015 04:21:04AM, cancel, office visit OV01843
lqmadden, 02/20/2015 06:28:26AM, merge, message M3992
qylarry, 02/20/2015 07:16:13AM, order, office visit OV03766
fzalcala, 02/20/2015 08:04:54AM, assign, system alert CA02718
lqmadden, 02/20/2015 09:15:01PM, unmerge, office visit OV00316
dsblythe, 02/21/2015 12:22:02AM, export, notification NX4993
fzalcala, 02/21/2015 12:37:33AM, resolve, ND code 295
quhundley, 02/21/2015 09:34:11PM, export, office visit OV02309
fzalcala, 02/21/2015 10:35:45PM, complete, patient specific instructions A1249
quhundley, 02/21/2015 12:40:53PM, unmerge, LOINC code 273
fzalcala, 02/22/2015 03:10:22AM, query, notification NX2287
xcherndon, 02/22/2015 05:15:56AM, resolve, ICD-9 Code 194
fzalcala, 02/22/2015 06:43:03AM, update, ICD Code 26
lqmadden, 02/22/2015 01:46:37PM, print, notification NX2286
dsblythe, 02/22/2015 06:06:56PM, disable, notification NX1054
quhundley, 02/23/2015 12:45:49AM, create, message M4467
fzalcala, 02/23/2015 03:32:44AM, schedule, system alert CA01893
lqmadden, 02/23/2015 10:47:10AM, cancel, system alert CA03716
fzalcala, 02/23/2015 05:09:32PM, cancel, notification NX1604
dsblythe, 02/23/2015 12:22:51PM, complete, message M3214
xcherndon, 02/24/2015 01:22:44AM, merge, message M1235
dsblythe, 02/24/2015 03:15:34AM, print, notification NX2286
dsblythe, 02/24/2015 07:11:28AM, delete, ICD-9 Code 261
dsblythe, 02/24/2015 12:10:04PM, complete, ICD-9 Code 905
qylarry, 02/24/2015 12:12:49AM, assign, system alert CA04029
qylarry, 02/24/2015 07:17:12PM, complete, message M3214
qylarry, 02/25/2015 02:12:19AM, enable, office visit OV01897
quhundley, 02/25/2015 09:47:22AM, assign, appointment A004744
qylarry, 02/25/2015 12:41:51AM, cancel, system alert CA03522
fzalcala, 02/25/2015 02:53:34PM, resolve, office visit OV05076
xcherndon, 02/25/2015 09:25:24PM, complete, appointment A000237
quhundley, 02/25/2015 10:29:54PM, schedule, system alert CA01078
xcherndon, 02/26/2015 06:09:00AM, view, appointment A002502
quhundley, 02/26/2015 12:20:58AM, assign, office visit OV01345
fzalcala, 02/26/2015 07:46:34PM, access, system alert CA00245
lqmadden, 02/26/2015 11:19:00PM, complete, message M4329
xcherndon, 02/26/2015 11:26:44PM, modify, notification NX2143
qylarry, 02/27/2015 01:55:41AM, schedule, message M4256
xcherndon, 02/27/2015 11:30:54AM, complete, appointment A002479
qylarry, 02/27/2015 12:58:51PM, unmerge, notification NX0646
lqmadden, 02/27/2015 04:31:27PM, import, notification NX0075
fzalcala, 02/27/2015 05:51:15PM, modify, HL7 Code 282
fzalcala, 02/27/2015 09:29:26PM, merge, system alert CA00306
qylarry, 02/27/2015 12:32:05PM, view, notification NX2816
xcherndon, 03/01/2015 04:57:05PM, view, notification NX2816
quhundley, 03/02/2015 01:25:40PM, order, notification NX1379
fzalcala, 03/03/2015 03:16:44PM, cancel, notification NX3412
quhundley, 03/03/2015 11:47:38PM, resolve, appointment A000609
qylarry, 03/04/2015 07:34:49AM, resolve, notification NX0525
quhundley, 03/04/2015 07:12:30PM, merge, LOINC code 264
xcherndon, 03/05/2015 12:22:50PM, unmerge, notification NX1034
quhundley, 03/05/2015 12:31:16PM, complete, ND code 245
quhundley, 03/05/2015 02:30:12PM, query, HL7 Code 288
xcherndon, 03/05/2015 11:39:42PM, cancel, notification NX1842
quhundley, 03/06/2015 04:29:30AM, disable, appointment A000770
fzalcala, 03/06/2015 11:40:57AM, update, ICD Code 26
dsblythe, 03/07/2015 03:56:19PM, update, notification NX0017
xcherndon, 03/07/2015 09:45:06PM, print, system alert CA04892
quhundley, 03/08/2015 07:35:16AM, create, office visit OV03853
fzalcala, 03/08/2015 04:45:13PM, merge, patient specific instructions A159
dsblythe, 03/08/2015 06:36:37PM, schedule, system alert CA01893
fzalcala, 03/09/2015 01:49:15AM, enable, system alert CA04762
lqmadden, 03/09/2015 04:59:17AM, resolve, patient specific instructions A353
fzalcala, 03/09/2015 10:43:33AM, cancel, notification NX1604
qylarry, 03/09/2015 12:07:07AM, cancel, notification NX1604
xcherndon, 03/09/2015 04:08:49PM, cancel, office visit OV00234
fzalcala, 03/09/2015 07:50:47PM, query, appointment A001519
fzalcala, 03/09/2015 09:49:42PM, print, ICD-9 Code 397
lqmadden, 03/09/2015 11:08:43PM, update, system alert CA01928
fzalcala, 03/10/2015 02:35:41AM, disable, notification NX3034
qylarry, 03/10/2015 09:30:12AM, print, system alert CA04407
xcherndon, 03/10/2015 01:28:28PM, cancel, office visit OV00234
xcherndon, 03/10/2015 05:05:57PM, unmerge, notification NX4544
quhundley, 03/10/2015 05:35:26PM, sort, appointment A005008
lqmadden, 03/10/2015 09:21:03PM, query, office visit OV01154
lqmadden, 03/11/2015 12:16:25AM, order, notification NX1379
fzalcala, 03/11/2015 01:38:31AM, order, system alert CA04806
qylarry, 03/11/2015 06:43:22AM, disable, office visit OV03696
dsblythe, 03/11/2015 10:59:32AM, schedule, appointment A002321
